time,price_A,price_B
2024-08-06 11:13:00,478.7,1
2024-08-06 11:14:00,478.8,1
2024-08-06 11:15:00,478.6,1
2024-08-06 11:16:00,478.7,1
2024-08-06 11:17:00,477.6,1
2024-08-06 11:18:00,477.5,1
2024-08-06 11:19:00,477.6,1
2024-08-06 11:20:00,476.8,1
2024-08-06 11:21:00,477.5,1
2024-08-06 11:22:00,477.2,1
2024-08-06 11:23:00,478.1,1
2024-08-06 11:24:00,478.0,1
2024-08-06 11:25:00,477.7,1
2024-08-06 11:26:00,477.2,1
2024-08-06 11:27:00,475.9,1
2024-08-06 11:28:00,475.9,1
2024-08-06 11:29:00,476.4,1
2024-08-06 11:30:00,476.9,1
2024-08-06 11:31:00,477.0,1
2024-08-06 11:32:00,477.2,1
2024-08-06 11:33:00,477.9,1
2024-08-06 11:34:00,478.1,1
2024-08-06 11:35:00,478.4,1
2024-08-06 11:36:00,478.2,1
2024-08-06 11:37:00,478.0,1
2024-08-06 11:38:00,478.4,1
2024-08-06 11:39:00,479.0,1
2024-08-06 11:40:00,478.3,1
2024-08-06 11:41:00,478.3,1
2024-08-06 11:42:00,478.5,1
2024-08-06 11:43:00,478.4,1
2024-08-06 11:44:00,479.0,1
2024-08-06 11:45:00,479.6,1
2024-08-06 11:46:00,479.0,1
2024-08-06 11:47:00,478.8,1
2024-08-06 11:48:00,480.3,1
2024-08-06 11:49:00,479.8,1
2024-08-06 11:50:00,479.4,1
2024-08-06 11:51:00,478.6,1
2024-08-06 11:52:00,478.2,1
2024-08-06 11:53:00,477.2,1
2024-08-06 11:54:00,477.4,1
2024-08-06 11:55:00,477.5,1
2024-08-06 11:56:00,477.8,1
2024-08-06 11:57:00,478.5,1
2024-08-06 11:58:00,478.2,1
2024-08-06 11:59:00,478.8,1
2024-08-06 12:00:00,478.4,1
2024-08-06 12:01:00,477.7,1
2024-08-06 12:02:00,478.7,1
2024-08-06 12:03:00,478.0,1
2024-08-06 12:04:00,477.4,1
2024-08-06 12:05:00,478.7,1
2024-08-06 12:06:00,477.4,1
2024-08-06 12:07:00,476.7,1
2024-08-06 12:08:00,476.5,1
2024-08-06 12:09:00,476.3,1
2024-08-06 12:10:00,477.1,1
2024-08-06 12:11:00,477.5,1
2024-08-06 12:12:00,477.0,1
2024-08-06 12:13:00,478.2,1
2024-08-06 12:14:00,478.5,1
2024-08-06 12:15:00,478.2,1
2024-08-06 12:16:00,478.6,1
2024-08-06 12:17:00,477.7,1
2024-08-06 12:18:00,477.3,1
2024-08-06 12:19:00,478.8,1
2024-08-06 12:20:00,479.7,1
2024-08-06 12:21:00,479.5,1
2024-08-06 12:22:00,478.9,1
2024-08-06 12:23:00,479.8,1
2024-08-06 12:24:00,479.8,1
2024-08-06 12:25:00,480.0,1
2024-08-06 12:26:00,479.3,1
2024-08-06 12:27:00,479.7,1
2024-08-06 12:28:00,480.1,1
2024-08-06 12:29:00,479.9,1
2024-08-06 12:30:00,480.7,1
2024-08-06 12:31:00,479.5,1
2024-08-06 12:32:00,479.2,1
2024-08-06 12:33:00,479.1,1
2024-08-06 12:34:00,478.9,1
2024-08-06 12:35:00,478.1,1
2024-08-06 12:36:00,476.9,1
2024-08-06 12:37:00,476.6,1
2024-08-06 12:38:00,477.3,1
2024-08-06 12:39:00,476.4,1
2024-08-06 12:40:00,477.0,1
2024-08-06 12:41:00,476.4,1
2024-08-06 12:42:00,476.6,1
2024-08-06 12:43:00,476.1,1
2024-08-06 12:44:00,476.0,1
2024-08-06 12:45:00,475.4,1
2024-08-06 12:46:00,473.8,1
2024-08-06 12:47:00,474.2,1
2024-08-06 12:48:00,475.2,1
2024-08-06 12:49:00,474.8,1
2024-08-06 12:50:00,475.0,1
2024-08-06 12:51:00,475.2,1
2024-08-06 12:52:00,475.9,1
2024-08-06 12:53:00,475.3,1
2024-08-06 12:54:00,475.2,1
2024-08-06 12:55:00,474.4,1
2024-08-06 12:56:00,474.3,1
2024-08-06 12:57:00,474.5,1
2024-08-06 12:58:00,475.2,1
2024-08-06 12:59:00,475.3,1
2024-08-06 13:00:00,474.9,1
2024-08-06 13:01:00,475.9,1
2024-08-06 13:02:00,475.8,1
2024-08-06 13:03:00,475.6,1
2024-08-06 13:04:00,474.8,1
2024-08-06 13:05:00,475.3,1
2024-08-06 13:06:00,475.2,1
2024-08-06 13:07:00,475.2,1
2024-08-06 13:08:00,475.9,1
2024-08-06 13:09:00,475.6,1
2024-08-06 13:10:00,475.3,1
2024-08-06 13:11:00,475.0,1
2024-08-06 13:12:00,475.4,1
2024-08-06 13:13:00,475.5,1
2024-08-06 13:14:00,475.6,1
2024-08-06 13:15:00,475.1,1
2024-08-06 13:16:00,474.9,1
2024-08-06 13:17:00,475.4,1
2024-08-06 13:18:00,475.5,1
2024-08-06 13:19:00,474.5,1
2024-08-06 13:20:00,473.3,1
2024-08-06 13:21:00,473.4,1
2024-08-06 13:22:00,473.2,1
2024-08-06 13:23:00,472.7,1
2024-08-06 13:24:00,471.7,1
2024-08-06 13:25:00,471.5,1
2024-08-06 13:26:00,472.9,1
2024-08-06 13:27:00,475.7,1
2024-08-06 13:28:00,476.0,1
2024-08-06 13:29:00,476.0,1
2024-08-06 13:30:00,475.9,1
2024-08-06 13:31:00,476.8,1
2024-08-06 13:32:00,476.4,1
2024-08-06 13:33:00,477.3,1
2024-08-06 13:34:00,476.8,1
2024-08-06 13:35:00,475.9,1
2024-08-06 13:36:00,474.7,1
2024-08-06 13:37:00,475.0,1
2024-08-06 13:38:00,474.7,1
2024-08-06 13:39:00,475.0,1
2024-08-06 13:40:00,476.1,1
2024-08-06 13:41:00,474.5,1
2024-08-06 13:42:00,474.0,1
2024-08-06 13:43:00,472.6,1
2024-08-06 13:44:00,472.2,1
2024-08-06 13:45:00,472.7,1
2024-08-06 13:46:00,470.8,1
2024-08-06 13:47:00,470.2,1
2024-08-06 13:48:00,470.8,1
2024-08-06 13:49:00,471.9,1
2024-08-06 13:50:00,470.9,1
2024-08-06 13:51:00,471.1,1
2024-08-06 13:52:00,470.8,1
2024-08-06 13:53:00,473.3,1
2024-08-06 13:54:00,473.1,1
2024-08-06 13:55:00,473.9,1
2024-08-06 13:56:00,474.7,1
2024-08-06 13:57:00,475.0,1
2024-08-06 13:58:00,475.4,1
2024-08-06 13:59:00,475.5,1
2024-08-06 14:00:00,475.2,1
2024-08-06 14:01:00,476.2,1
2024-08-06 14:02:00,475.8,1
2024-08-06 14:03:00,477.2,1
2024-08-06 14:04:00,477.0,1
2024-08-06 14:05:00,477.6,1
2024-08-06 14:06:00,481.4,1
2024-08-06 14:07:00,482.6,1
2024-08-06 14:08:00,483.3,1
2024-08-06 14:09:00,485.2,1
2024-08-06 14:10:00,483.9,1
2024-08-06 14:11:00,486.4,1
2024-08-06 14:12:00,487.5,1
2024-08-06 14:13:00,486.1,1
2024-08-06 14:14:00,487.7,1
2024-08-06 14:15:00,487.8,1
2024-08-06 14:16:00,488.7,1
2024-08-06 14:17:00,488.3,1
2024-08-06 14:18:00,487.9,1
2024-08-06 14:19:00,490.3,1
2024-08-06 14:20:00,492.4,1
2024-08-06 14:21:00,491.4,1
2024-08-06 14:22:00,490.4,1
2024-08-06 14:23:00,491.7,1
2024-08-06 14:24:00,491.4,1
2024-08-06 14:25:00,492.1,1
2024-08-06 14:26:00,491.2,1
2024-08-06 14:27:00,490.4,1
2024-08-06 14:28:00,490.3,1
2024-08-06 14:29:00,491.6,1
2024-08-06 14:30:00,489.8,1
2024-08-06 14:31:00,490.8,1
2024-08-06 14:32:00,489.4,1
2024-08-06 14:33:00,487.5,1
2024-08-06 14:34:00,488.3,1
2024-08-06 14:35:00,488.2,1
2024-08-06 14:36:00,489.3,1
2024-08-06 14:37:00,488.5,1
2024-08-06 14:38:00,489.2,1
2024-08-06 14:39:00,489.1,1
2024-08-06 14:40:00,488.4,1
2024-08-06 14:41:00,489.3,1
2024-08-06 14:42:00,489.4,1
2024-08-06 14:43:00,490.6,1
2024-08-06 14:44:00,490.5,1
2024-08-06 14:45:00,489.9,1
2024-08-06 14:46:00,490.8,1
2024-08-06 14:47:00,490.7,1
2024-08-06 14:48:00,490.2,1
2024-08-06 14:49:00,490.5,1
2024-08-06 14:50:00,491.4,1
2024-08-06 14:51:00,490.0,1
2024-08-06 14:52:00,489.7,1
2024-08-06 14:53:00,489.3,1
2024-08-06 14:54:00,488.4,1
2024-08-06 14:55:00,488.1,1
2024-08-06 14:56:00,488.0,1
2024-08-06 14:57:00,488.0,1
2024-08-06 14:58:00,486.8,1
2024-08-06 14:59:00,486.6,1
2024-08-06 15:00:00,486.6,1
2024-08-06 15:01:00,487.1,1
2024-08-06 15:02:00,487.6,1
2024-08-06 15:03:00,487.1,1
2024-08-06 15:04:00,486.1,1
2024-08-06 15:05:00,486.6,1
2024-08-06 15:06:00,487.5,1
2024-08-06 15:07:00,487.8,1
2024-08-06 15:08:00,487.8,1
2024-08-06 15:09:00,488.4,1
2024-08-06 15:10:00,488.1,1
2024-08-06 15:11:00,486.7,1
2024-08-06 15:12:00,486.5,1
2024-08-06 15:13:00,485.9,1
2024-08-06 15:14:00,485.6,1
2024-08-06 15:15:00,485.3,1
2024-08-06 15:16:00,484.9,1
2024-08-06 15:17:00,484.4,1
2024-08-06 15:18:00,485.3,1
2024-08-06 15:19:00,485.4,1
2024-08-06 15:20:00,485.1,1
2024-08-06 15:21:00,485.8,1
2024-08-06 15:22:00,485.7,1
2024-08-06 15:23:00,485.8,1
2024-08-06 15:24:00,485.7,1
2024-08-06 15:25:00,484.9,1
2024-08-06 15:26:00,484.2,1
2024-08-06 15:27:00,484.6,1
2024-08-06 15:28:00,483.6,1
2024-08-06 15:29:00,482.8,1
2024-08-06 15:30:00,481.8,1
2024-08-06 15:31:00,481.1,1
2024-08-06 15:32:00,481.0,1
2024-08-06 15:33:00,482.1,1
2024-08-06 15:34:00,482.7,1
2024-08-06 15:35:00,483.4,1
2024-08-06 15:36:00,482.9,1
2024-08-06 15:37:00,483.4,1
2024-08-06 15:38:00,483.0,1
2024-08-06 15:39:00,482.6,1
2024-08-06 15:40:00,482.8,1
2024-08-06 15:41:00,483.6,1
2024-08-06 15:42:00,484.9,1
2024-08-06 15:43:00,484.7,1
2024-08-06 15:44:00,485.1,1
2024-08-06 15:45:00,485.1,1
2024-08-06 15:46:00,485.8,1
2024-08-06 15:47:00,484.8,1
2024-08-06 15:48:00,485.8,1
2024-08-06 15:49:00,485.9,1
2024-08-06 15:50:00,486.6,1
2024-08-06 15:51:00,486.2,1
2024-08-06 15:52:00,486.1,1
2024-08-06 15:53:00,486.3,1
2024-08-06 15:54:00,486.4,1
2024-08-06 15:55:00,486.5,1
2024-08-06 15:56:00,486.5,1
2024-08-06 15:57:00,487.3,1
2024-08-06 15:58:00,487.7,1
2024-08-06 15:59:00,487.8,1
2024-08-06 16:00:00,487.9,1
2024-08-06 16:01:00,487.8,1
2024-08-06 16:02:00,488.2,1
2024-08-06 16:03:00,487.6,1
2024-08-06 16:04:00,487.4,1
2024-08-06 16:05:00,487.2,1
2024-08-06 16:06:00,486.9,1
2024-08-06 16:07:00,487.0,1
2024-08-06 16:08:00,487.4,1
2024-08-06 16:09:00,488.0,1
2024-08-06 16:10:00,487.8,1
2024-08-06 16:11:00,487.8,1
2024-08-06 16:12:00,488.8,1
2024-08-06 16:13:00,488.6,1
2024-08-06 16:14:00,489.3,1
2024-08-06 16:15:00,490.0,1
2024-08-06 16:16:00,489.1,1
2024-08-06 16:17:00,488.3,1
2024-08-06 16:18:00,488.7,1
2024-08-06 16:19:00,488.2,1
2024-08-06 16:20:00,488.3,1
2024-08-06 16:21:00,489.1,1
2024-08-06 16:22:00,488.7,1
2024-08-06 16:23:00,488.3,1
2024-08-06 16:24:00,487.6,1
2024-08-06 16:25:00,487.3,1
2024-08-06 16:26:00,486.3,1
2024-08-06 16:27:00,485.9,1
2024-08-06 16:28:00,485.7,1
2024-08-06 16:29:00,485.5,1
2024-08-06 16:30:00,485.7,1
2024-08-06 16:31:00,485.6,1
2024-08-06 16:32:00,486.2,1
2024-08-06 16:33:00,486.3,1
2024-08-06 16:34:00,487.0,1
2024-08-06 16:35:00,487.4,1
2024-08-06 16:36:00,487.2,1
2024-08-06 16:37:00,487.5,1
2024-08-06 16:38:00,487.3,1
2024-08-06 16:39:00,488.5,1
2024-08-06 16:40:00,488.1,1
2024-08-06 16:41:00,488.6,1
2024-08-06 16:42:00,490.2,1
2024-08-06 16:43:00,489.9,1
2024-08-06 16:44:00,490.2,1
2024-08-06 16:45:00,489.4,1
2024-08-06 16:46:00,489.9,1
2024-08-06 16:47:00,490.8,1
2024-08-06 16:48:00,490.7,1
2024-08-06 16:49:00,490.8,1
2024-08-06 16:50:00,490.6,1
2024-08-06 16:51:00,490.3,1
2024-08-06 16:52:00,489.9,1
2024-08-06 16:53:00,490.3,1
2024-08-06 16:54:00,491.8,1
2024-08-06 16:55:00,492.8,1
2024-08-06 16:56:00,491.9,1
2024-08-06 16:57:00,490.8,1
2024-08-06 16:58:00,491.1,1
2024-08-06 16:59:00,490.9,1
2024-08-06 17:00:00,490.5,1
2024-08-06 17:01:00,489.3,1
2024-08-06 17:02:00,490.6,1
2024-08-06 17:03:00,490.7,1
2024-08-06 17:04:00,491.0,1
2024-08-06 17:05:00,491.6,1
2024-08-06 17:06:00,490.5,1
2024-08-06 17:07:00,490.7,1
2024-08-06 17:08:00,490.6,1
2024-08-06 17:09:00,491.0,1
2024-08-06 17:10:00,491.4,1
2024-08-06 17:11:00,490.6,1
2024-08-06 17:12:00,490.2,1
2024-08-06 17:13:00,491.0,1
2024-08-06 17:14:00,490.8,1
2024-08-06 17:15:00,490.2,1
2024-08-06 17:16:00,489.5,1
2024-08-06 17:17:00,488.9,1
2024-08-06 17:18:00,489.2,1
2024-08-06 17:19:00,489.4,1
2024-08-06 17:20:00,489.4,1
2024-08-06 17:21:00,489.0,1
2024-08-06 17:22:00,488.8,1
2024-08-06 17:23:00,489.5,1
2024-08-06 17:24:00,488.9,1
2024-08-06 17:25:00,488.5,1
2024-08-06 17:26:00,488.7,1
2024-08-06 17:27:00,488.3,1
2024-08-06 17:28:00,488.4,1
2024-08-06 17:29:00,488.9,1
2024-08-06 17:30:00,489.0,1
2024-08-06 17:31:00,489.8,1
2024-08-06 17:32:00,488.6,1
2024-08-06 17:33:00,488.6,1
2024-08-06 17:34:00,488.8,1
2024-08-06 17:35:00,488.7,1
2024-08-06 17:36:00,488.5,1
2024-08-06 17:37:00,488.5,1
2024-08-06 17:38:00,488.2,1
2024-08-06 17:39:00,488.1,1
2024-08-06 17:40:00,488.0,1
2024-08-06 17:41:00,488.1,1
2024-08-06 17:42:00,487.6,1
2024-08-06 17:43:00,487.2,1
2024-08-06 17:44:00,487.1,1
2024-08-06 17:45:00,486.7,1
2024-08-06 17:46:00,486.8,1
2024-08-06 17:47:00,487.0,1
2024-08-06 17:48:00,486.9,1
2024-08-06 17:49:00,487.9,1
2024-08-06 17:50:00,487.9,1
2024-08-06 17:51:00,488.0,1
2024-08-06 17:52:00,487.7,1
2024-08-06 17:53:00,487.2,1
2024-08-06 17:54:00,487.7,1
2024-08-06 17:55:00,488.0,1
2024-08-06 17:56:00,487.9,1
2024-08-06 17:57:00,488.5,1
2024-08-06 17:58:00,488.1,1
2024-08-06 17:59:00,487.0,1
2024-08-06 18:00:00,486.8,1
2024-08-06 18:01:00,486.9,1
2024-08-06 18:02:00,487.8,1
2024-08-06 18:03:00,487.6,1
2024-08-06 18:04:00,487.0,1
2024-08-06 18:05:00,487.0,1
2024-08-06 18:06:00,486.8,1
2024-08-06 18:07:00,487.2,1
2024-08-06 18:08:00,487.6,1
2024-08-06 18:09:00,487.6,1
2024-08-06 18:10:00,487.9,1
2024-08-06 18:11:00,488.6,1
2024-08-06 18:12:00,489.0,1
2024-08-06 18:13:00,489.5,1
2024-08-06 18:14:00,489.4,1
2024-08-06 18:15:00,489.6,1
2024-08-06 18:16:00,490.0,1
2024-08-06 18:17:00,490.5,1
2024-08-06 18:18:00,491.2,1
2024-08-06 18:19:00,491.0,1
2024-08-06 18:20:00,490.2,1
2024-08-06 18:21:00,489.3,1
2024-08-06 18:22:00,489.6,1
2024-08-06 18:23:00,489.7,1
2024-08-06 18:24:00,489.8,1
2024-08-06 18:25:00,489.6,1
2024-08-06 18:26:00,489.9,1
2024-08-06 18:27:00,489.2,1
2024-08-06 18:28:00,489.3,1
2024-08-06 18:29:00,489.5,1
2024-08-06 18:30:00,489.5,1
2024-08-06 18:31:00,489.1,1
2024-08-06 18:32:00,489.8,1
2024-08-06 18:33:00,490.3,1
2024-08-06 18:34:00,490.7,1
2024-08-06 18:35:00,491.1,1
2024-08-06 18:36:00,490.5,1
2024-08-06 18:37:00,490.8,1
2024-08-06 18:38:00,491.3,1
2024-08-06 18:39:00,491.1,1
2024-08-06 18:40:00,490.3,1
2024-08-06 18:41:00,489.2,1
2024-08-06 18:42:00,489.3,1
2024-08-06 18:43:00,489.5,1
2024-08-06 18:44:00,490.1,1
2024-08-06 18:45:00,490.1,1
2024-08-06 18:46:00,490.2,1
2024-08-06 18:47:00,490.6,1
2024-08-06 18:48:00,491.2,1
2024-08-06 18:49:00,491.0,1
2024-08-06 18:50:00,490.9,1
2024-08-06 18:51:00,491.2,1
2024-08-06 18:52:00,491.2,1
2024-08-06 18:53:00,490.8,1
2024-08-06 18:54:00,490.6,1
2024-08-06 18:55:00,490.9,1
2024-08-06 18:56:00,490.1,1
2024-08-06 18:57:00,490.6,1
2024-08-06 18:58:00,489.9,1
2024-08-06 18:59:00,489.4,1
2024-08-06 19:00:00,489.2,1
2024-08-06 19:01:00,489.1,1
2024-08-06 19:02:00,489.6,1
2024-08-06 19:03:00,489.0,1
2024-08-06 19:04:00,488.0,1
2024-08-06 19:05:00,488.3,1
2024-08-06 19:06:00,488.7,1
2024-08-06 19:07:00,488.8,1
2024-08-06 19:08:00,487.6,1
2024-08-06 19:09:00,487.5,1
2024-08-06 19:10:00,487.7,1
2024-08-06 19:11:00,488.1,1
2024-08-06 19:12:00,488.0,1
2024-08-06 19:13:00,488.5,1
2024-08-06 19:14:00,488.2,1
2024-08-06 19:15:00,488.3,1
2024-08-06 19:16:00,488.4,1
2024-08-06 19:17:00,487.4,1
2024-08-06 19:18:00,488.1,1
2024-08-06 19:19:00,488.3,1
2024-08-06 19:20:00,488.0,1
2024-08-06 19:21:00,488.0,1
2024-08-06 19:22:00,488.5,1
2024-08-06 19:23:00,488.7,1
2024-08-06 19:24:00,488.6,1
2024-08-06 19:25:00,489.1,1
2024-08-06 19:26:00,489.7,1
2024-08-06 19:27:00,490.5,1
2024-08-06 19:28:00,489.9,1
2024-08-06 19:29:00,489.8,1
2024-08-06 19:30:00,489.5,1
2024-08-06 19:31:00,489.9,1
2024-08-06 19:32:00,490.1,1
2024-08-06 19:33:00,489.6,1
2024-08-06 19:34:00,489.6,1
2024-08-06 19:35:00,489.5,1
2024-08-06 19:36:00,489.3,1
2024-08-06 19:37:00,489.3,1
2024-08-06 19:38:00,489.5,1
2024-08-06 19:39:00,490.0,1
2024-08-06 19:40:00,490.0,1
2024-08-06 19:41:00,490.6,1
2024-08-06 19:42:00,490.6,1
2024-08-06 19:43:00,490.5,1
2024-08-06 19:44:00,490.4,1
2024-08-06 19:45:00,490.3,1
2024-08-06 19:46:00,490.3,1
2024-08-06 19:47:00,490.3,1
2024-08-06 19:48:00,489.2,1
2024-08-06 19:49:00,489.5,1
2024-08-06 19:50:00,489.1,1
2024-08-06 19:51:00,490.0,1
2024-08-06 19:52:00,489.4,1
2024-08-06 19:53:00,489.1,1
2024-08-06 19:54:00,489.1,1
2024-08-06 19:55:00,487.7,1
2024-08-06 19:56:00,487.2,1
2024-08-06 19:57:00,487.8,1
2024-08-06 19:58:00,488.4,1
2024-08-06 19:59:00,488.4,1
2024-08-06 20:00:00,488.1,1
2024-08-06 20:01:00,488.9,1
2024-08-06 20:02:00,486.9,1
2024-08-06 20:03:00,486.6,1
2024-08-06 20:04:00,486.0,1
2024-08-06 20:05:00,484.9,1
2024-08-06 20:06:00,486.2,1
2024-08-06 20:07:00,486.2,1
2024-08-06 20:08:00,486.5,1
2024-08-06 20:09:00,487.4,1
2024-08-06 20:10:00,487.5,1
2024-08-06 20:11:00,488.3,1
2024-08-06 20:12:00,486.9,1
2024-08-06 20:13:00,486.6,1
2024-08-06 20:14:00,487.1,1
2024-08-06 20:15:00,485.4,1
2024-08-06 20:16:00,484.7,1
2024-08-06 20:17:00,484.3,1
2024-08-06 20:18:00,485.1,1
2024-08-06 20:19:00,485.0,1
2024-08-06 20:20:00,486.3,1
2024-08-06 20:21:00,487.6,1
2024-08-06 20:22:00,486.8,1
2024-08-06 20:23:00,485.9,1
2024-08-06 20:24:00,486.5,1
2024-08-06 20:25:00,486.3,1
2024-08-06 20:26:00,485.3,1
2024-08-06 20:27:00,485.3,1
2024-08-06 20:28:00,485.8,1
2024-08-06 20:29:00,486.4,1
2024-08-06 20:30:00,486.6,1
2024-08-06 20:31:00,486.3,1
2024-08-06 20:32:00,486.6,1
2024-08-06 20:33:00,486.6,1
2024-08-06 20:34:00,487.0,1
2024-08-06 20:35:00,487.5,1
2024-08-06 20:36:00,487.3,1
2024-08-06 20:37:00,487.9,1
2024-08-06 20:38:00,488.5,1
2024-08-06 20:39:00,488.5,1
2024-08-06 20:40:00,487.9,1
2024-08-06 20:41:00,487.8,1
2024-08-06 20:42:00,487.7,1
2024-08-06 20:43:00,486.9,1
2024-08-06 20:44:00,486.2,1
2024-08-06 20:45:00,485.2,1
2024-08-06 20:46:00,485.9,1
2024-08-06 20:47:00,486.1,1
2024-08-06 20:48:00,485.4,1
2024-08-06 20:49:00,486.1,1
2024-08-06 20:50:00,485.7,1
2024-08-06 20:51:00,486.1,1
2024-08-06 20:52:00,485.7,1
2024-08-06 20:53:00,485.9,1
2024-08-06 20:54:00,486.1,1
2024-08-06 20:55:00,487.1,1
2024-08-06 20:56:00,486.9,1
2024-08-06 20:57:00,487.0,1
2024-08-06 20:58:00,487.7,1
2024-08-06 20:59:00,487.7,1
2024-08-06 21:00:00,487.5,1
2024-08-06 21:01:00,487.7,1
2024-08-06 21:02:00,487.3,1
2024-08-06 21:03:00,487.3,1
2024-08-06 21:04:00,487.7,1
2024-08-06 21:05:00,488.5,1
2024-08-06 21:06:00,487.6,1
2024-08-06 21:07:00,487.2,1
2024-08-06 21:08:00,486.2,1
2024-08-06 21:09:00,486.4,1
2024-08-06 21:10:00,486.6,1
2024-08-06 21:11:00,486.8,1
2024-08-06 21:12:00,486.4,1
2024-08-06 21:13:00,487.0,1
2024-08-06 21:14:00,486.4,1
2024-08-06 21:15:00,487.2,1
2024-08-06 21:16:00,486.6,1
2024-08-06 21:17:00,486.6,1
2024-08-06 21:18:00,486.7,1
2024-08-06 21:19:00,486.7,1
2024-08-06 21:20:00,487.6,1
2024-08-06 21:21:00,487.7,1
2024-08-06 21:22:00,487.6,1
2024-08-06 21:23:00,487.4,1
2024-08-06 21:24:00,487.7,1
2024-08-06 21:25:00,487.7,1
2024-08-06 21:26:00,488.7,1
2024-08-06 21:27:00,488.8,1
2024-08-06 21:28:00,488.8,1
2024-08-06 21:29:00,488.5,1
2024-08-06 21:30:00,488.3,1
2024-08-06 21:31:00,488.2,1
2024-08-06 21:32:00,487.9,1
2024-08-06 21:33:00,488.2,1
2024-08-06 21:34:00,488.4,1
2024-08-06 21:35:00,489.0,1
2024-08-06 21:36:00,489.1,1
2024-08-06 21:37:00,488.9,1
2024-08-06 21:38:00,488.5,1
2024-08-06 21:39:00,488.3,1
2024-08-06 21:40:00,488.5,1
2024-08-06 21:41:00,488.4,1
2024-08-06 21:42:00,487.7,1
2024-08-06 21:43:00,487.7,1
2024-08-06 21:44:00,488.2,1
2024-08-06 21:45:00,488.3,1
2024-08-06 21:46:00,488.1,1
2024-08-06 21:47:00,487.9,1
2024-08-06 21:48:00,487.9,1
2024-08-06 21:49:00,488.2,1
2024-08-06 21:50:00,488.4,1
2024-08-06 21:51:00,488.6,1
2024-08-06 21:52:00,488.6,1
2024-08-06 21:53:00,488.0,1
2024-08-06 21:54:00,488.0,1
2024-08-06 21:55:00,488.4,1
2024-08-06 21:56:00,488.1,1
2024-08-06 21:57:00,488.5,1
2024-08-06 21:58:00,488.8,1
2024-08-06 21:59:00,488.3,1
2024-08-06 22:00:00,488.6,1
2024-08-06 22:01:00,488.3,1
2024-08-06 22:02:00,489.2,1
2024-08-06 22:03:00,489.1,1
2024-08-06 22:04:00,489.9,1
2024-08-06 22:05:00,490.2,1
2024-08-06 22:06:00,490.3,1
2024-08-06 22:07:00,490.2,1
2024-08-06 22:08:00,490.5,1
2024-08-06 22:09:00,490.8,1
2024-08-06 22:10:00,491.5,1
2024-08-06 22:11:00,491.3,1
2024-08-06 22:12:00,491.0,1
2024-08-06 22:13:00,491.0,1
2024-08-06 22:14:00,490.6,1
2024-08-06 22:15:00,490.8,1
2024-08-06 22:16:00,491.1,1
2024-08-06 22:17:00,491.7,1
2024-08-06 22:18:00,492.0,1
2024-08-06 22:19:00,491.8,1
2024-08-06 22:20:00,492.1,1
2024-08-06 22:21:00,492.3,1
2024-08-06 22:22:00,492.2,1
2024-08-06 22:23:00,491.8,1
2024-08-06 22:24:00,490.8,1
2024-08-06 22:25:00,488.8,1
2024-08-06 22:26:00,486.5,1
2024-08-06 22:27:00,485.9,1
2024-08-06 22:28:00,485.6,1
2024-08-06 22:29:00,485.0,1
2024-08-06 22:30:00,485.5,1
2024-08-06 22:31:00,485.6,1
2024-08-06 22:32:00,487.1,1
2024-08-06 22:33:00,486.3,1
2024-08-06 22:34:00,486.1,1
2024-08-06 22:35:00,485.9,1
2024-08-06 22:36:00,485.6,1
2024-08-06 22:37:00,485.2,1
2024-08-06 22:38:00,486.0,1
2024-08-06 22:39:00,486.3,1
2024-08-06 22:40:00,486.6,1
2024-08-06 22:41:00,486.1,1
2024-08-06 22:42:00,485.7,1
2024-08-06 22:43:00,485.7,1
2024-08-06 22:44:00,486.7,1
2024-08-06 22:45:00,486.4,1
2024-08-06 22:46:00,486.2,1
2024-08-06 22:47:00,486.8,1
2024-08-06 22:48:00,487.5,1
2024-08-06 22:49:00,486.8,1
2024-08-06 22:50:00,486.2,1
2024-08-06 22:51:00,486.9,1
2024-08-06 22:52:00,487.0,1
2024-08-06 22:53:00,487.3,1
2024-08-06 22:54:00,487.3,1
2024-08-06 22:55:00,487.1,1
2024-08-06 22:56:00,486.9,1
2024-08-06 22:57:00,487.1,1
2024-08-06 22:58:00,486.8,1
2024-08-06 22:59:00,486.9,1
2024-08-06 23:00:00,487.2,1
2024-08-06 23:01:00,487.1,1
2024-08-06 23:02:00,486.1,1
2024-08-06 23:03:00,485.6,1
2024-08-06 23:04:00,486.7,1
2024-08-06 23:05:00,486.8,1
2024-08-06 23:06:00,487.5,1
2024-08-06 23:07:00,487.4,1
2024-08-06 23:08:00,487.4,1
2024-08-06 23:09:00,488.2,1
2024-08-06 23:10:00,488.6,1
2024-08-06 23:11:00,488.1,1
2024-08-06 23:12:00,488.0,1
2024-08-06 23:13:00,487.6,1
2024-08-06 23:14:00,487.2,1
2024-08-06 23:15:00,487.3,1
2024-08-06 23:16:00,487.0,1
2024-08-06 23:17:00,486.0,1
2024-08-06 23:18:00,486.5,1
2024-08-06 23:19:00,486.3,1
2024-08-06 23:20:00,486.6,1
2024-08-06 23:21:00,486.6,1
2024-08-06 23:22:00,486.2,1
2024-08-06 23:23:00,485.5,1
2024-08-06 23:24:00,485.5,1
2024-08-06 23:25:00,485.2,1
2024-08-06 23:26:00,484.3,1
2024-08-06 23:27:00,484.2,1
2024-08-06 23:28:00,484.2,1
